職稱,黨籍,姓名,區別,郵遞區號,服務處地址,服務處電話,傳真電話
議長,民,邱莉莉,北.中西區,70055,臺南市中西區尊王路95號,2292666,2248078
副議長,民,林志展,善化.安定.新市.山上.新化區,74151,臺南市善化區中山路266號,5858688,5858988
議員,國,蔡育輝,後壁.白河.東山.鹽水.新營.柳營區,73045,臺南市新營區三民路39-2號,6379912,6377905
議員,無,趙昆原,後壁.白河.東山.鹽水.新營.柳營區,73047,臺南市新營區民治路78號,6561111,6570002
議員,民,王宣貿,後壁.白河.東山.鹽水.新營.柳營區,73061,臺南市新營區新進路2段300號,6572566,6572199
議員,無,張世賢,後壁.白河.東山.鹽水.新營.柳營區,73242,臺南市白河區國光路46號,6856956,6856957
議員,民,李宗翰,後壁.白河.東山.鹽水.新營.柳營區,73149,臺南市後壁區頂安里頂寮197號之1,6361666,6330752
議員,民,沈家鳳,後壁.白河.東山.鹽水.新營.柳營區,730005,臺南市新營區中興路17號,6350688,6350966
議員,國,方一峰,北門.學甲.將軍.七股.佳里.西港區,72243,臺南市佳里區光復路348號,7224729,7236610
議員,民,蔡蘇秋金,北門.學甲.將軍.七股.佳里.西港區,72253,臺南市佳里區文化路132號,7238123,7236555
議員,民,謝舒凡,北門.學甲.將軍.七股.佳里.西港區,726001,台南市學甲區新生路55號,7823858,7823818
議員,無,陳昆和,北門.學甲.將軍.七股.佳里.西港區,72258,臺南市佳里區安北路66號,7228288,7226272
議員,民,蔡秋蘭,北門.學甲.將軍.七股.佳里.西港區,72243,臺南市佳里區成功路87號,7220190,7215151
議員,民,陳秋宏,下營.六甲.麻豆.官田.大內區,73546,臺南市下營區中山路1段366號,6891479,6791727
議員,國,尤榮智,下營.六甲.麻豆.官田.大內區,73443,臺南市六甲區中山路341號,6988138,6987103
議員,民,吳通龍,下營.六甲.麻豆.官田.大內區,73444,臺南市六甲區中山路636號,6983838,6983848
議員,無盟,周奕齊,楠西.南化.玉井.左鎮區,714003,臺南市玉井區大成路147號,5746066,5745026
議員,無,李文俊,善化.安定.新市.山上.新化區,74160,臺南市善化區興華路229號,5839286,5839256
議員,民,余柷青,善化.安定.新市.山上.新化區,71242,臺南市新化區信義路462號,5984288,5989026
議員,民,李偉智,善化.安定.新市.山上.新化區,71243,臺南市新化區民權街58號,5906999,5909777
議員,民,陳碧玉,善化.安定.新市.山上.新化區,74448,臺南市新市區和平街128號,5994708,5011907
議員,無,郭信良,安南區,70948,臺南市安南區安明路4段303之5號,2570521,2570633
議員,民,郭清華,安南區,70951,臺南市安南區海佃路1段376號,3584055,3507881
議員,國,李中岑,安南區,70966,臺南市安南區海佃路2段690號,2455199,2452766
議員,民,蔡麗青,安南區,709031,臺南市安南區青砂街1段66號,2457869,2474594
議員,無,邱昭勝,安南區,70959,臺南市安南區長和路3段185號,3570878,3559895
議員,無,黃麗招,安南區,70960,臺南市安南區安中路3段212號,2468772,2468590
議員,國,林燕祝,永康區,71076,臺南市永康區永大路3段379號,2016689,2035889
議員,無盟,林冠維,永康區,71059,臺南市永康區富強路2段19巷24號,2738805,2728765
議員,民,朱正軒,永康區,71088,臺南市永康區中山南路473號,2339399,2339441
議員,無,李鎮國,永康區,71051,臺南市永康區復興路216巷13號,3121299,3126606
議員,民,陳秋萍,永康區,710056,臺南市永康區中山路162號,2335128,2016762
議員,民,黄肇輝,永康區,71087,臺南市永康區永大路2段91號,2058355,2058910
議員,台聯,楊中成,永康區,710008,臺南市永康區大灣三街97號,2053510,2735456
議員,民,陳怡珍,北.中西區,70451,臺南市北區海安路3段963號,2803906,3586489
議員,民,沈震東,北.中西區,70453,臺南市北區和緯路2段149號,2512039,2512939
議員,國,蔡宗豪,北.中西區,70045,臺南市中西區府前路1段415號,2140226,2140126
議員,國,許至椿,北.中西區,70449,臺南市北區北門路2段573號,2832530,2817712
議員,民,周嘉韋,北.中西區,70060,臺南市中西區臨安路1段242號,2211285,2217538
議員,國,林美燕,安平.南區,70256,臺南市南區國民路189號,2881698,2881697
議員,民,林依婷,安平.南區,708008,臺南市安平區永華路2段752號,2636000,2630114
議員,國,蔡淑惠,安平.南區,70247,臺南市南區夏林路248號,2644117,2917721
議員,國,盧崑福,安平.南區,70848,臺南市安平區永華路2段850號,2977187,2977587
議員,民,李啓維,安平.南區,70843,臺南市安平區育平路501號,2997599,2982788
議員,民,周麗津,安平.南區,70251,臺南市南區金華路1段468號,2638598,2632901
議員,國,曾培雅,東區,70156,臺南市東區崇學路111號,2897419,2696057
議員,無,曾之婕,東區,70174,臺南市東區文化六街1號,2672338,2672330
議員,國,王家貞,東區,70173,臺南市東區崇善路192號1樓,2906669,2686518
議員,民,蔡筱薇,東區,701024,臺南市東區裕農路315號,2091120,2091150
議員,基進,李宗霖,東區,701029,臺南市東區崇善路469號,2002340,2002310
議員,無盟,杜素吟,仁德.歸仁.關廟.龍崎區,71745,臺南市仁德區上崙里上崙街352號,2664080,2660770
議員,無,吳禹寰,仁德.歸仁.關廟.龍崎區,71751,臺南市仁德區保華路42-1號,2890891,2697707
議員,民,郭鴻儀,仁德.歸仁.關廟.龍崎區,717013,臺南市仁德區正義三街88號,2796111,2792123
議員,民,鄭佳欣,仁德.歸仁.關廟.龍崎區,711006,臺南市歸仁區大吉街1號,2305818,2306158
議員,民,陳皇宇,仁德.歸仁.關廟.龍崎區,71844,臺南市關廟區南雄路1段1092號,5966866,5966566
議員,無,Ingay Tali          穎艾達利,平地原住民,70449,臺南市北區北門路2段547巷40號,2825318,2521114
議員,無,Tjakumay Tagaw   施余興望   ,山地原住民,71076,臺南市永康區龍埔街430巷35弄2號,2319580,2319661